Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
BMW,BMW 3 SERIES,8_5,19985.0,25262.0,25391.0,30716.0,32119.0,32799.0,34307.0,37365.0,37271.0,33730.0,32119.0,28532.0,31514.0,38244.0,29965.0,21106.0,17464.0,17630.0,13416.0,9056.0
BMW,BMW 4 SERIES,8_7,4540.0,10539.0,15716.0,17039.0,18612.0,18745.0,13042.0,1617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW 5 SERIES,8_9,8801.0,15789.0,19961.0,15263.0,15781.0,17442.0,16880.0,15512.0,15918.0,14663.0,10856.0,9401.0,9940.0,11657.0,10233.0,7985.0,5534.0,4039.0,3628.0,2583.0
BMW,BMW 6 SERIES,8_11,227.0,1035.0,2288.0,1296.0,1834.0,2018.0,2077.0,2130.0,1707.0,667.0,569.0,645.0,1206.0,1323.0,1569.0,1457.0,1290.0,25.0,0.0,0.0
BMW,BMW 7 SERIES,8_14,888.0,1458.0,1374.0,1500.0,1518.0,745.0,951.0,795.0,978.0,985.0,814.0,661.0,824.0,766.0,1197.0,739.0,445.0,486.0,281.0,393.0
BMW,BMW 8 SERIES,8_49,1864.0,1209.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW I3,8_27,4204.0,4596.0,3491.0,3056.0,2131.0,1879.0,1205.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW I8,8_28,80.0,248.0,389.0,232.0,447.0,644.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW M1,8_48,3350.0,3921.0,3998.0,4477.0,2724.0,1498.0,1755.0,1591.0,318.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW M2,8_29,2636.0,2604.0,3010.0,2807.0,2358.0,1502.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
